long,lat,q_ps_test_data,q_ps_predicted,residual
-128.7733,48.3517,649.51371744501,649.6952834141389,-0.1815659691288829
-128.7095,48.4576,615.10439485193,615.1045832708113,-0.0001884188812937282
-128.731,47.9046,495.3203091145,495.2008308853156,0.11947822918438078
-128.638,47.8851,437.77934178494,437.7831852115631,-0.003843426623063806
-128.6798,47.843,448.73843215919,448.7341476959962,0.004284463193755528
-127.786,47.7152,262.38779189237,262.38263610736965,0.005155785000340529
-127.65,47.9,264.85829724021,264.79781640858766,0.060480831622328424
-128.6785,48.4331,531.15760845266,531.1536148011463,0.003993651513724217
-128.832,47.9342,581.09921225716,580.9193281413677,0.17988411579233343
-127.8528,47.8567,287.95214121249,287.9124314680818,0.03970974440818509
-129.093,47.9504,2753.9345346423,2754.5560231675186,-0.6214885252184104
-128.6367,48.4583,508.22227635983,508.2083255944869,0.013950765343111016
-127.259,47.7575,229.06340145183,229.05761684472535,0.005784607104658335
-127.6242,47.8762,254.60619139326,254.79983332847118,-0.19364193521118978
-127.781,47.6865,262.38779189237,262.38263610736965,0.005155785000340529
-128.71,48.46,615.10439485193,615.1051542517621,-0.0007593998320771789
-128.713,48.4585,615.10439485193,615.1045832708113,-0.0001884188812937282
-126.85,48.6667,197.26029061145,197.2401481838003,0.02014242764968799
-127.689,47.8735,264.85829724021,264.94926361152034,-0.09096637131034413
-128.7933333,48.82166667,571.43854872006,571.4002008197756,0.03834790028440693
-128.712,48.4594,615.10439485193,615.1045832708113,-0.0001884188812937282
-128.56,47.908,437.77934178494,437.7745804761891,0.00476130875091485
-129.1,47.9524,2753.9345346423,2754.2655578035283,-0.33102316122813136
-128.7091,48.4559,615.10439485193,615.1045832708113,-0.0001884188812937282
-128.6983,48.455,615.10439485193,615.1045832708113,-0.0001884188812937282
-127.7866,47.7131,262.38779189237,262.38263610736965,0.005155785000340529
-127.7866,47.7096,262.38779189237,262.38263610736965,0.005155785000340529
-128.7088,48.4538,615.10439485193,615.1045832708113,-0.0001884188812937282
-128.6275,47.9033,437.77934178494,437.7831852115631,-0.003843426623063806
-128.586,47.9293,437.77934178494,437.8004199768093,-0.02107819186926463
-127.76,47.7629,266.09179195412,266.13052544818845,-0.03873349406842408
-128.5748,47.8947,437.77934178494,437.7745804761891,0.00476130875091485
-128.71,48.4567,615.10439485193,615.1045832708113,-0.0001884188812937282
-128.591,47.9137,437.77934178494,437.7745804761891,0.00476130875091485
-128.6801,48.4335,531.15760845266,531.1536148011463,0.003993651513724217
-126.6283,48.1471,194.6275181369,194.57091059330736,0.05660754359263365
-127.765,47.77,266.09179195412,266.0797088800902,0.012083074029817453
-127.735,47.8697,264.85829724021,264.9741446164011,-0.1158473761910841
-128.7,48.31,527.67515477576,527.8300665474338,-0.15491177167382375
-127.643,47.9113,254.60619139326,254.67813595430056,-0.07194456104056712
-128.556,47.9255,437.77934178494,437.8893574164227,-0.11001563148266769
-128.69,48.44,531.15760845266,531.1693935852883,-0.011785132628233441
-128.7083,48.46,615.10439485193,615.1051542517621,-0.0007593998320771789
-128.6095,47.934,437.77934178494,437.79960484555863,-0.0202630606186176
-127.8238,47.7223,262.38779189237,262.0494364936005,0.3383553987694654
-128.7086,48.4571,615.10439485193,615.1045832708113,-0.0001884188812937282
-128.678,48.4411,531.15760845266,530.9708282300209,0.18678022263918592
-128.65,48.42,531.15760845266,531.1490293723679,0.008579080292179242
-127.769,47.7414,262.38779189237,262.38263610736965,0.005155785000340529
-128.8033,48.5233,807.68141835452,813.158884925536,-5.4774665710159525
-128.79,48.45,807.68141835452,807.5005383557824,0.18087999873762328
-127.778,47.7664,266.09179195412,266.0797088800902,0.012083074029817453
-128.48,48.4433,432.69780102486,432.35717572181176,0.3406253030482276
-128.616,48.4567,508.22227635983,508.2083255944869,0.013950765343111016
-128.7583,48.4,649.51371744501,649.4562378222824,0.05747962272755558
-128.7767,48.34,641.25720294721,640.9565552116837,0.30064773552624047
-128.6811,48.4382,531.15760845266,531.1552935551665,0.002314897493533863
-129.099,47.9562,2753.9345346423,2755.104588641277,-1.1700539989769823
-128.69,48.44,531.15760845266,531.1693935852883,-0.011785132628233441
-128.7233,48.4517,615.10439485193,614.9945190755215,0.10987577640855761
-128.7155,48.4579,615.10439485193,615.1045832708113,-0.0001884188812937282
-127.7742,47.7348,262.38779189237,262.38263610736965,0.005155785000340529
-127.791,47.7454,262.38779189237,262.38263610736965,0.005155785000340529
-128.7165,47.9215,495.3203091145,495.33216730020297,-0.011858185702976698
-127.3775,47.7827,233.35611510341,233.25664206777017,0.09947303563981791
