lon,lat,grav,age,q,ps_q,stein_q,z_ps,z_stein,bathy
-132.8833364,38.68333411,-8.017494202,33.939312,19,81.20993106,87.54244237,4539.010966,423035.0681,-4628.006323
-132.8833364,38.80000078,-10.48415184,33.939312,19,81.20993106,87.54244237,4539.010966,423035.0681,-4570.985012
-132.8833364,38.91666744,-10.69932747,33.939312,19,81.20993106,87.54244237,4539.010966,423035.0681,-4639.996264
-132.8833364,39.03333411,-14.75751877,33.939312,19,81.20993106,87.54244237,4539.010966,423035.0681,-4624.491169
-132.8833364,39.15000078,-15.80803394,33.939312,19,81.20993106,87.54244237,4539.010966,423035.0681,-4663.991117
-132.8833364,39.26666745,-20.99128723,33.939312,19,81.20993106,87.54244237,4539.010966,423035.0681,-4611.490083
-132.8833364,39.38333412,-31.59991264,33.939312,19,81.20993106,87.54244237,4539.010966,423035.0681,-4691.500652
-132.8833364,39.50000079,-27.54930496,33.939312,19,81.20993106,87.54244237,4539.010966,423035.0681,-4478.477616
-132.8833364,39.61666746,-31.70518112,33.939312,19,81.20993106,87.54244237,4539.010966,423035.0681,-4593.000337
-132.8833364,39.73333413,-36.95976639,33.939312,19,81.20993106,87.54244237,4539.010966,423035.0681,-4744.501115
-132.8833364,39.8500008,-53.49588013,33.939312,19,81.20993106,87.54244237,4539.010966,423035.0681,-4748.991096
-132.8833364,39.96666747,-62.91262817,33.939312,19,81.20993106,87.54244237,4539.010966,423035.0681,-4717.004245
-132.8833364,40.08333413,-56.98572159,10.360166,40.2,146.9864503,158.4480209,3626.552411,41776.55943,-4287.478677
-132.8833364,40.2000008,-11.06034851,10.360166,40.2,146.9864503,158.4480209,3626.552411,41776.55943,-3903.498587
-132.8833364,40.31666747,-6.236521721,10.360166,40.2,146.9864503,158.4480209,3626.552411,41776.55943,-4033.990347
-132.8833364,40.43333414,-18.90208435,10.360166,40.2,146.9864503,158.4480209,3626.552411,41776.55943,-4198.995086
-132.8833364,40.55000081,-12.89062405,10.360166,40.2,146.9864503,158.4480209,3626.552411,41776.55943,-4050.497955
-132.8833364,40.66666748,-9.74684906,10.360166,40.2,146.9864503,158.4480209,3626.552411,41776.55943,-4016.500979
-132.8833364,40.78333415,3.17337203,10.360166,40.2,146.9864503,158.4480209,3626.552411,41776.55943,-3273.985666
-132.8833364,40.90000082,-5.501421928,10.360166,40.2,146.9864503,158.4480209,3626.552411,41776.55943,-3732.500684
-132.8833364,41.01666749,-8.200277328,10.360166,40.2,146.9864503,158.4480209,3626.552411,41776.55943,-3734.999656
-132.8833364,41.13333416,-4.459347725,10.360166,40.2,146.9864503,158.4480209,3626.552411,41776.55943,-3675.499955
-132.8833364,41.25000082,-5.59367466,10.360166,40.2,146.9864503,158.4480209,3626.552411,41776.55943,-3626.996486
-132.8833364,41.36666749,-7.771935463,10.360166,40.2,146.9864503,158.4480209,3626.552411,41776.55943,-3744.508366
-132.8833364,41.48333416,-0.357556283,10.360166,40.2,146.9864503,158.4480209,3626.552411,41776.55943,-3126.987182
-132.8833364,41.60000083,-12.3759594,10.360166,40.2,146.9864503,158.4480209,3626.552411,41776.55943,-3761.503857
-132.8833364,41.7166675,-20.44164848,10.360166,40.2,146.9864503,158.4480209,3626.552411,41776.55943,-3804.998078
-132.8833364,41.83333417,-15.38889027,10.360166,40.2,146.9864503,158.4480209,3626.552411,41776.55943,-3669.551784
-132.8833364,41.95000084,-18.13273239,10.360166,40.2,146.9864503,158.4480209,3626.552411,41776.55943,-3758.011448
-132.8833364,42.06666751,48.83541107,10.360166,40.2,146.9864503,158.4480209,3626.552411,41776.55943,-1758.022915
-132.8833364,42.18333418,-22.84299278,10.360166,40.2,146.9864503,158.4480209,3626.552411,41776.55943,-3641.011195
-132.8833364,42.30000085,-7.609430313,10.360166,40.2,146.9864503,158.4480209,3626.552411,41776.55943,-3233.963682
-132.8833364,42.41666751,-13.59850597,10.360166,40.2,146.9864503,158.4480209,3626.552411,41776.55943,-3816.00089
-132.8833364,42.53333418,-15.59621143,10.360166,40.2,146.9864503,158.4480209,3626.552411,41776.55943,-3771.5012
-132.8833364,42.65000085,-16.64773178,10.360166,40.2,146.9864503,158.4480209,3626.552411,41776.55943,-3776.498973
-132.8833364,42.76666752,-18.26674271,10.360166,40.2,146.9864503,158.4480209,3626.552411,41776.55943,-3773.99777
-132.8833364,42.88333419,-12.49024963,10.360166,40.2,146.9864503,158.4480209,3626.552411,41776.55943,-3718.500438
-132.8833364,43.00000086,-8.366055489,10.360166,40.2,146.9864503,158.4480209,3626.552411,41776.55943,-3698.498853
-132.8833364,43.11666753,-13.60468769,5.6550808,134,198.9487669,214.462206,3332.314483,14272.67768,-3747.499086
-132.8833364,43.2333342,-12.56792164,5.6550808,134,198.9487669,214.462206,3332.314483,14272.67768,-3688.998887
-132.8833364,43.35000087,-17.10470581,5.6550808,134,198.9487669,214.462206,3332.314483,14272.67768,-3688.999939
-132.8833364,43.46666754,-17.98209953,5.6550808,134,198.9487669,214.462206,3332.314483,14272.67768,-3805.505184
-132.8833364,43.5833342,-18.54362488,5.6550808,134,198.9487669,214.462206,3332.314483,14272.67768,-3634.500084
-132.8833364,43.70000087,-13.72589207,5.6550808,134,198.9487669,214.462206,3332.314483,14272.67768,-3667.000126
-132.8833364,43.81666754,-12.3886919,5.6550808,134,198.9487669,214.462206,3332.314483,14272.67768,-3685.001277
-132.8833364,43.93333421,-13.44908047,5.6550808,134,198.9487669,214.462206,3332.314483,14272.67768,-3703.499101
-132.8833364,44.05000088,-12.42878819,5.6550808,134,198.9487669,214.462206,3332.314483,14272.67768,-3713.001468
-132.8833364,44.16666755,-13.80281162,5.6550808,134,198.9487669,214.462206,3332.314483,14272.67768,-3740.001109
-132.8833364,44.28333422,-14.22885418,5.6550808,134,198.9487669,214.462206,3332.314483,14272.67768,-3733.000653
-132.8833364,44.40000089,-12.08246422,5.6550808,134,198.9487669,214.462206,3332.314483,14272.67768,-3733.9687
-132.8833364,44.51666756,-18.75955009,7.888742,33,168.4444796,181.5792842,3483.041655,25314.77138,-3770.001055
