long,lat,bathy
-127.3520833,45.02291667,-2897
-127.3479167,45.02291667,-2897
-127.34375,45.02291667,-2897
-127.3395833,45.02291667,-2900
-127.3354167,45.02291667,-2901
-127.33125,45.02291667,-2903
-127.3270833,45.02291667,-2914
-127.3229167,45.02291667,-2927
-127.31875,45.02291667,-2950
-127.3145833,45.02291667,-3011
-127.3104167,45.02291667,-3047
-127.30625,45.02291667,-3052
-127.3020833,45.02291667,-3055
-127.2979167,45.02291667,-3054
-127.29375,45.02291667,-3055
-127.2895833,45.02291667,-3051
-127.2854167,45.02291667,-2938
-127.28125,45.02291667,-2924
-127.2770833,45.02291667,-2919
-127.2729167,45.02291667,-2914
-127.26875,45.02291667,-2911
-127.2645833,45.02291667,-2907
-127.2604167,45.02291667,-2904
-127.25625,45.02291667,-2902
-127.2520833,45.02291667,-2901
-127.2479167,45.02291667,-2899
-127.24375,45.02291667,-2896
-127.2395833,45.02291667,-2894
-127.2354167,45.02291667,-2893
-127.23125,45.02291667,-2893
-127.2270833,45.02291667,-2891
-127.2229167,45.02291667,-2888
-127.21875,45.02291667,-2888
-127.2145833,45.02291667,-2886
-127.2104167,45.02291667,-2884
-127.20625,45.02291667,-2885
-127.2020833,45.02291667,-2883
-127.1979167,45.02291667,-2881
-127.19375,45.02291667,-2879
-127.1895833,45.02291667,-2873
-127.1854167,45.02291667,-2871
-127.18125,45.02291667,-2868
-127.1770833,45.02291667,-2866
-127.1729167,45.02291667,-2865
-127.16875,45.02291667,-2864
-127.1645833,45.02291667,-2863
-127.1604167,45.02291667,-2862
-127.15625,45.02291667,-2861
-127.1520833,45.02291667,-2860
-127.1479167,45.02291667,-2859
-127.14375,45.02291667,-2857
-127.1395833,45.02291667,-2856
-127.1354167,45.02291667,-2855
-127.13125,45.02291667,-2854
-127.1270833,45.02291667,-2854
-127.1229167,45.02291667,-2853
-127.11875,45.02291667,-2853
-127.1145833,45.02291667,-2853
-127.1104167,45.02291667,-2852
-127.10625,45.02291667,-2852
-127.1020833,45.02291667,-2852
-127.0979167,45.02291667,-2852
-127.09375,45.02291667,-2851
-127.0895833,45.02291667,-2849
-127.0854167,45.02291667,-2847
-127.08125,45.02291667,-2844
-127.0770833,45.02291667,-2843
-127.0729167,45.02291667,-2843
-127.06875,45.02291667,-2842
-127.0645833,45.02291667,-2842
-127.0604167,45.02291667,-2842
-127.05625,45.02291667,-2842
-127.0520833,45.02291667,-2842
-127.0479167,45.02291667,-2842
