lat,long,age,q_ihfc,q_ps,q_stein,FA,ps_z,stein_z,bathy
49.33,-121.97,9.2849312,99.7,155.2641943,167.371239,-39.17293549,3566.491478,3712.198255,179
49.33,-121.97,9.2849312,38.8,155.2641943,167.371239,-39.17293549,3566.491478,3712.198255,179
49.33,-121.97,9.2849312,103.3,155.2641943,167.371239,-39.17293549,3566.491478,3712.198255,179
49.33,-121.95,9.2849312,95.5,155.2641943,167.371239,-39.17293549,3566.491478,3712.198255,398
49.33,-121.97,9.2849312,90.6,155.2641943,167.371239,-39.17293549,3566.491478,3712.198255,179
49.3,-121.93,9.2849312,105.1,155.2641943,167.371239,-39.17293549,3566.491478,3712.198255,44
49.75,-124.53,7.3612161,41.5,174.3756644,187.9729653,-25.49456787,3449.60464,3590.301982,100
49.7,-124.52,7.3612161,18.1,174.3756644,187.9729653,0.199091554,3449.60464,3590.301982,115
49.75,-124.53,7.3612161,36.2,174.3756644,187.9729653,-25.49456787,3449.60464,3590.301982,100
49.75,-124.53,7.3612161,33.2,174.3756644,187.9729653,-25.49456787,3449.60464,3590.301982,100
49.75,-124.53,7.3612161,32.8,174.3756644,187.9729653,-25.49456787,3449.60464,3590.301982,100
49.75,-124.53,7.3612161,34.7,174.3756644,187.9729653,-25.49456787,3449.60464,3590.301982,100
49.75,-124.53,7.3612161,32.6,174.3756644,187.9729653,-25.49456787,3449.60464,3590.301982,100
49.75,-124.53,7.3612161,20.7,174.3756644,187.9729653,-25.49456787,3449.60464,3590.301982,100
49.7,-124.53,7.3612161,26.8,174.3756644,187.9729653,0.199091554,3449.60464,3590.301982,128
49.7,-124.53,7.3612161,22.5,174.3756644,187.9729653,0.199091554,3449.60464,3590.301982,128
49.7,-124.53,7.3612161,8,174.3756644,187.9729653,0.199091554,3449.60464,3590.301982,128
49.7,-124.53,7.3612161,34.9,174.3756644,187.9729653,0.199091554,3449.60464,3590.301982,128
50.02,-126.78,6.2185445,53,189.7213847,204.5152997,31.4454155,3372.795338,3510.200852,708
50,-126.8,6.2185445,42.1,189.7213847,204.5152997,31.4454155,3372.795338,3510.200852,1008
50,-126.8,6.2185445,43.6,189.7213847,204.5152997,31.4454155,3372.795338,3510.200852,1008
50,-126.8,6.2185445,39.2,189.7213847,204.5152997,31.4454155,3372.795338,3510.200852,1008
